fen,move,value
"rnb1kb1r/ppp1pp1p/3q1np1/3p4/5P2/2NP1N2/PPP1P1PP/R1BQKB1R w KQkq - 0 5","a2a3","0.0"
"rnb1kb1r/ppp1pp1p/3q1np1/3p4/5P2/P1NP1N2/1PP1P1PP/R1BQKB1R b KQkq - 0 5","f8g7","0.0"
"rnb1k2r/ppp1ppbp/3q1np1/3p4/5P2/P1NP1N2/1PP1P1PP/R1BQKB1R w KQkq - 1 6","b2b3","0.0"
"rnb1k2r/ppp1ppbp/3q1np1/3p4/5P2/PPNP1N2/2P1P1PP/R1BQKB1R b KQkq - 0 6","c8g4","0.0"
"rn2k2r/ppp1ppbp/3q1np1/3p4/5Pb1/PPNP1N2/2P1P1PP/R1BQKB1R w KQkq - 1 7","f3g5","0.0"
"rn2k2r/ppp1ppbp/3q1np1/3p2N1/5Pb1/PPNP4/2P1P1PP/R1BQKB1R b KQkq - 2 7","h7h6","0.0"
"rn2k2r/ppp1ppb1/3q1npp/3p2N1/5Pb1/PPNP4/2P1P1PP/R1BQKB1R w KQkq - 0 8","c3e4","0.0"
"rn2k2r/ppp1ppb1/3q1npp/3p2N1/4NPb1/PP1P4/2P1P1PP/R1BQKB1R b KQkq - 1 8","f6e4","0.0"
"rn2k2r/ppp1ppb1/3q2pp/3p2N1/4nPb1/PP1P4/2P1P1PP/R1BQKB1R w KQkq - 0 9","d3e4","0.0"
"rn2k2r/ppp1ppb1/3q2pp/3p2N1/4PPb1/PP6/2P1P1PP/R1BQKB1R b KQkq - 0 9","g7c3","0.0"
"rn2k2r/ppp1pp2/3q2pp/3p2N1/4PPb1/PPb5/2P1P1PP/R1BQKB1R w KQkq - 1 10","d1d2","0.0"
"rn2k2r/ppp1pp2/3q2pp/3p2N1/4PPb1/PPb5/2PQP1PP/R1B1KB1R b KQkq - 2 10","c3a1","0.0"
"rn2k2r/ppp1pp2/3q2pp/3p2N1/4PPb1/PP6/2PQP1PP/b1B1KB1R w Kkq - 0 11","e4e5","0.0"
"rn2k2r/ppp1pp2/3q2pp/3pP1N1/5Pb1/PP6/2PQP1PP/b1B1KB1R b Kkq - 0 11","d6c6","0.0"
"rn2k2r/ppp1pp2/2q3pp/3pP1N1/5Pb1/PP6/2PQP1PP/b1B1KB1R w Kkq - 1 12","e5e6","0.0"
"rn2k2r/ppp1pp2/2q1P1pp/3p2N1/5Pb1/PP6/2PQP1PP/b1B1KB1R b Kkq - 0 12","e8d8","0.0"
"rn1k3r/ppp1pp2/2q1P1pp/3p2N1/5Pb1/PP6/2PQP1PP/b1B1KB1R w K - 1 13","e6f7","0.0"
"rn1k3r/ppp1pP2/2q3pp/3p2N1/5Pb1/PP6/2PQP1PP/b1B1KB1R b K - 0 13","d8d7","0.0"
"rn5r/pppkpP2/2q3pp/3p2N1/5Pb1/PP6/2PQP1PP/b1B1KB1R w K - 1 14","f7f8q","0.0"
"rn3Q1r/pppkp3/2q3pp/3p2N1/5Pb1/PP6/2PQP1PP/b1B1KB1R b K - 0 14","e7e6","0.0"
"rn3Q1r/pppk4/2q1p1pp/3p2N1/5Pb1/PP6/2PQP1PP/b1B1KB1R w K - 0 15","f8f7","0.0"
"rn5r/pppk1Q2/2q1p1pp/3p2N1/5Pb1/PP6/2PQP1PP/b1B1KB1R b K - 1 15","d7d8","0.0"
"rn1k3r/ppp2Q2/2q1p1pp/3p2N1/5Pb1/PP6/2PQP1PP/b1B1KB1R w K - 2 16","g5h7","0.0"
"rn1k3r/ppp2Q1N/2q1p1pp/3p4/5Pb1/PP6/2PQP1PP/b1B1KB1R b K - 3 16","c6d6","0.0"
"rn1k3r/ppp2Q1N/3qp1pp/3p4/5Pb1/PP6/2PQP1PP/b1B1KB1R w K - 4 17","h7f8","0.0"
"rn1k1N1r/ppp2Q2/3qp1pp/3p4/5Pb1/PP6/2PQP1PP/b1B1KB1R b K - 5 17","b8d7","0.0"
"r2k1N1r/pppn1Q2/3qp1pp/3p4/5Pb1/PP6/2PQP1PP/b1B1KB1R w K - 6 18","f7e8","0.0"
"r2kQN1r/pppn4/3qp1pp/3p4/5Pb1/PP6/2PQP1PP/b1B1KB1R b K - 7 18","d8e8","0.0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","f2f4","0.0"
"rnbqkbnr/ppp1pppp/8/3p4/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 0 2","e2e3","0.0"
"rnbqkbnr/ppp1pppp/8/3p4/5P2/4P3/PPPP2PP/RNBQKBNR b KQkq - 0 2","c8f5","0.0"
"rn1qkbnr/ppp1pppp/8/3p1b2/5P2/4P3/PPPP2PP/RNBQKBNR w KQkq - 1 3","g1f3","0.0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e2e4","0.0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","a2a4","0.0"
"rnbqkbnr/pppp1ppp/8/4p3/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 0 2","h2h4","0.0"
"rnbqkbnr/ppp2ppp/8/3pp3/P6P/8/1PPPPPP1/RNBQKBNR w KQkq - 0 3","b2b4","0.0"
"rnbqk1nr/ppp2ppp/8/3pp3/Pb5P/8/2PPPPP1/RNBQKBNR w KQkq - 0 4","c2c3","0.0"
"rnbqk1nr/ppp2ppp/3b4/3pp3/P6P/2P5/3PPPP1/RNBQKBNR w KQkq - 1 5","b1a3","0.0"
"rnbqk2r/ppp2ppp/3b1n2/3pp3/P6P/N1P5/3PPPP1/R1BQKBNR w KQkq - 3 6","g1f3","0.0"
"rnbq1rk1/ppp2ppp/3b1n2/3pp3/P6P/N1P2N2/3PPPP1/R1BQKB1R w KQ - 5 7","f3d4","0.0"
"rnbq1rk1/ppp2ppp/3b1n2/3p4/P2p3P/N1P5/3PPPP1/R1BQKB1R w KQ - 0 8","c3d4","0.0"
"rnbq1rk1/ppp2ppp/3b4/3p4/P2Pn2P/N7/3PPPP1/R1BQKB1R w KQ - 1 9","c1b2","0.0"
"r1bq1rk1/pppn1ppp/3b4/3p4/P2Pn2P/N7/1B1PPPP1/R2QKB1R w KQ - 3 10","a3b5","0.0"
"r1bq1rk1/pppnbppp/8/1N1p4/P2Pn2P/8/1B1PPPP1/R2QKB1R w KQ - 5 11","a1c1","0.0"
"rnbq1rk1/ppp1bppp/8/1N1p4/P2Pn2P/8/1B1PPPP1/2RQKB1R w K - 7 12","b5c7","0.0"
"r1bq1rk1/ppN1bppp/2n5/3p4/P2Pn2P/8/1B1PPPP1/2RQKB1R w K - 1 13","c7a8","0.0"
"N1bq1rk1/pp3ppp/2n5/3p4/P2Pn2b/8/1B1PPPP1/2RQKB1R w K - 0 14","g2g3","0.0"
"N1bq1rk1/pp3ppp/2n5/3p2b1/P2Pn3/6P1/1B1PPP2/2RQKB1R w K - 1 15","f2f3","0.0"
"N1bq1rk1/pp3ppp/2n5/3p2b1/P2P4/5Pn1/1B1PP3/2RQKB1R w K - 0 16","d1b3","0.0"
"N1bq1rk1/pp3ppp/2n5/3p2b1/P2P4/1Q3P2/1B1PP3/2R1KB1n w - - 0 17","b3b4","0.0"
"N1bq1rk1/pp3ppp/8/3p2b1/Pn1P4/5P2/1B1PP3/2R1KB1n w - - 0 18","c1c8","0.0"
"N1Rq1rk1/pp2bppp/8/3p4/Pn1P4/5P2/1B1PP3/4KB1n w - - 1 19","c8d8","0.0"
"N2r2k1/pp2bppp/8/3p4/Pn1P4/5P2/1B1PP3/4KB1n w - - 0 20","f1g2","0.0"
"r5k1/pp2bppp/8/3p4/Pn1P4/5P2/1B1PP1B1/4K2n w - - 0 21","g2h1","0.0"
"r5k1/pp2bppp/8/3p4/P2P4/5P2/1BnPP3/4K2B w - - 1 22","e1d1","0.0"
"r5k1/pp2bppp/8/3p4/P2P4/4nP2/1B1PP3/3K3B w - - 3 23","d2e3","0.0"
"r5k1/pp2bpp1/8/3p3p/P2P4/4PP2/1B2P3/3K3B w - - 0 24","f3f4","0.0"
"2r3k1/pp2bpp1/8/3p3p/P2P1P2/4P3/1B2P3/3K3B w - - 1 25","h1d5","0.0"
"3r2k1/pp2bpp1/8/3B3p/P2P1P2/4P3/1B2P3/3K4 w - - 1 26","d5b7","0.0"
"1r4k1/pB2bpp1/8/7p/P2P1P2/4P3/1B2P3/3K4 w - - 1 27","b7d5","0.0"
"6k1/p3bpp1/8/3B3p/P2P1P2/4P3/1r2P3/3K4 w - - 0 28","a4a5","0.0"
"6k1/p3bpp1/8/P2B4/3P1P1p/4P3/1r2P3/3K4 w - - 0 29","a5a6","0.0"
"6k1/p3bpp1/P7/3B4/3P1P1p/4P3/4P3/1r1K4 w - - 1 30","d1c2","0.0"
"6k1/p3bpp1/Pr6/3B4/3P1P1p/4P3/2K1P3/8 w - - 3 31","e3e4","0.0"
"6k1/p3bpp1/Pr6/3B4/3PPP2/7p/2K1P3/8 w - - 0 32","e4e5","0.0"
"6k1/p3bpp1/P7/3BP3/1r1P1P2/7p/2K1P3/8 w - - 1 33","e5e6","0.0"
"6k1/p3bpp1/P3P3/3B4/1r1P1P2/8/2K1P2p/8 w - - 0 34","e6f7","0.0"
"5k2/p3bPp1/P7/3B4/1r1P1P2/8/2K1P2p/8 w - - 1 35","c2c3","0.0"
"5k2/p3bPp1/Pr6/3B4/3P1P2/2K5/4P2p/8 w - - 3 36","e2e3","0.0"
"5k2/p3bPp1/Pr6/3B4/3P1P2/2K1P3/8/7n w - - 0 37","d5h1","0.0"
"5k2/p4Pp1/Pr6/8/1b1P1P2/2K1P3/8/7B w - - 1 38","c3b3","0.0"
"5k2/p4Pp1/Pr6/8/3P1P2/1K2P3/3b4/7B w - - 3 39","b3c2","0.0"
"5k2/p4Pp1/Pr6/8/3P1P2/4b3/2K5/7B w - - 0 40","c2d3","0.0"
"5k2/p4Pp1/Pr6/8/3P1P2/3K4/5b2/7B w - - 2 41","d3e2","0.0"
"8/p4kp1/Pr6/8/3P1P2/8/4Kb2/7B w - - 0 42","h1d5","0.0"
"8/p5p1/Pr3k2/3B4/3P1P2/8/4Kb2/8 w - - 2 43","f4f5","0.0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e2e4","0.0"
"rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","f2f4","0.0"
"rnbqkbnr/ppp1pppp/8/3p4/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2","e7e6","0.0"
"rnbqkbnr/ppp2ppp/4p3/3p4/4PP2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3","f4f5","0.0"
"rnbqkbnr/ppp2ppp/4p3/3p1P2/4P3/8/PPPP2PP/RNBQKBNR b KQkq - 0 3","e6f5","0.0"
"rnbqkbnr/ppp2ppp/8/3p1p2/4P3/8/PPPP2PP/RNBQKBNR w KQkq - 0 4","f1b5","0.0"
"rnbqkbnr/ppp2ppp/8/1B1p1p2/4P3/8/PPPP2PP/RNBQK1NR b KQkq - 1 4","b8c6","0.0"
"r1bqkbnr/ppp2ppp/2n5/1B1p1p2/4P3/8/PPPP2PP/RNBQK1NR w KQkq - 2 5","g2g4","0.0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","f2f3","0.0"
"rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq - 0 1","e7e6","0.0"
"rnbqkbnr/pppp1ppp/4p3/8/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 0 2","g2g3","0.0"
"rnbqkbnr/ppp2ppp/4p3/3p4/8/5PP1/PPPPP2P/RNBQKBNR w KQkq - 0 3","f1g2","0.0"
"rnbqkbnr/pp3ppp/4p3/2pp4/8/5PP1/PPPPP1BP/RNBQK1NR w KQkq - 0 4","e2e4","0.0"
"rnbqkbnr/pp3ppp/4p3/2p5/4p3/5PP1/PPPP2BP/RNBQK1NR w KQkq - 0 5","d1e2","0.0"
"rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4","d5c4","0.0"
"rnbqkb1r/ppp2ppp/4pn2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5","d1c2","0.0"
