Turno	FEN	Stockfish_Move	MCTS_Opinion	MCTS_4000
15	r2q1rk1/p1p2ppp/1bp5/3pP3/3Pn1b1/2NQ1N2/PP3PPP/R1B2RK1 b - - 1 12	g4f3	e4c3,f7f5,f8e8	e4c3,f7f5,f8e8
16	r2q1rk1/p1p2ppp/1bp5/3pP3/3Pn3/2NQ1b2/PP3PPP/R1B2RK1 w - - 0 13	g2f3	c3e2,g2f3,d3f3	c3e2,g2f3,d3f3
17	r2q1rk1/p1p2ppp/1bp5/3pP3/3Pn3/2NQ1P2/PP3P1P/R1B2RK1 b - - 0 13	e4g5	e4c3,e4g5,e4c5	e4c3,e4g5,e4c5
18	r2q1rk1/p1p2ppp/1bp5/3pP1n1/3P4/2NQ1P2/PP3P1P/R1B2RK1 w - - 1 14	c3e2	c1f4,c1g5,c3e2,c1e3,f3f4,c1d2	c1f4,c3e2,c1e3,c1g5,c1d2,f3f4
19	r2q1rk1/p1p2ppp/1bp5/3pP1n1/3P4/3Q1P2/PP2NP1P/R1B2RK1 b - - 2 14	g5e6	g5f3,g5h3,g5e6,d8d7,f8e8,d8d6,f7f6	g5f3,d8d7,g5e6,g5h3,d8d6,f8e8,f7f6
20	r2q1rk1/p1p2ppp/1bp1n3/3pP3/3P4/3Q1P2/PP2NP1P/R1B2RK1 w - - 3 15	a2a4	c1d2,b2b3,e2f4,a1b1,c1f4,f1e1,f1d1	c1d2,b2b3,e2f4,c1f4,h2h3,f1e1,f1d1
21	r2q1rk1/p1p2ppp/1bp1n3/3pP3/P2P4/3Q1P2/1P2NP1P/R1B2RK1 b - - 0 15	d8h4	d8d7,f8e8,c6c5,a7a5,f7f6,d8d6,f7f5	d8d7,c6c5,f8e8,f7f6,a7a5,f7f5,d8d6
22	r4rk1/p1p2ppp/1bp1n3/3pP3/P2P3q/3Q1P2/1P2NP1P/R1B2RK1 w - - 1 16	f3f4	a4a5,e2g3,b2b4,g1h1,c1d2,b2b3,c1e3	a4a5,e2g3,g1h1,b2b4,c1d2,h2h3,b2b3
23	r4rk1/p1p2ppp/1bp1n3/3pP3/P2P1P1q/3Q4/1P2NP1P/R1B2RK1 b - - 0 16	a7a5	h4e7,h4d8,h4f6,h4h2,h4g5,h4g4,h4h6	h4e7,h4d8,h4f6,h4h2,h4g5,h4g4,h4f2
24	r4rk1/2p2ppp/1bp1n3/p2pP3/P2P1P1q/3Q4/1P2NP1P/R1B2RK1 w - - 0 17	g1h1	e2g3,c1d2,g1h1,c1e3,f4f5,d3g3,b2b4	c1d2,e2g3,c1e3,g1h1,f4f5,d3g3,d3h3
25	r4rk1/2p2ppp/1bp1n3/p2pP3/P2P1P1q/3Q4/1P2NP1P/R1B2R1K b - - 1 17	f7f6	h4e7,h4d8,h4h5,h4f4,h4f6,h4f2,f7f5	h4e7,h4d8,h4f6,h4h5,h4g5,f7f5,h4h2
26	r4rk1/2p3pp/1bp1np2/p2pP3/P2P1P1q/3Q4/1P2NP1P/R1B2R1K w - - 0 18	a1a3	e2g3,d3g3,f2f3,b2b4,c1d2,f1g1,c1e3	e2g3,d3g3,f2f3,c1d2,b2b4,f1g1,d3f3
27	r4rk1/2p3pp/1bp1np2/p2pP3/P2P1P1q/R2Q4/1P2NP1P/2B2R1K b - - 1 18	f6e5	e6f4,f6f5,h4h5,g8h8,h4g5,f8f7,h4h2	e6f4,f6f5,h4h5,h4g5,f8f7,e6d8,h4h2
28	r4rk1/2p3pp/1bp1n3/p2pp3/P2P1P1q/R2Q4/1P2NP1P/2B2R1K w - - 0 19	d4e5	f4e5,d4e5,a3b3,d3g3,a3c3,f4f5,a3a2	f4e5,d4e5,a3b3,d3g3,a3c3,f4f5,a3a2
29	r4rk1/2p3pp/1bp1n3/p2pP3/P4P1q/R2Q4/1P2NP1P/2B2R1K b - - 0 19	a8e8	e6f4,h4h5,h4e7,h4h6,h4f4,h7h6,h4g5	e6f4,h4h5,h4e7,h4h6,h4f4,h4d8,h7h6
30	4rrk1/2p3pp/1bp1n3/p2pP3/P4P1q/R2Q4/1P2NP1P/2B2R1K w - - 1 20	d3f3	d3g3,a3b3,b2b4,f4f5,e2g3,a3a2,a3c3	d3g3,a3b3,f4f5,b2b3,b2b4,e2g3,a3a1
31	4rrk1/2p3pp/1bp1n3/p2pP3/P4P1q/R4Q2/1P2NP1P/2B2R1K b - - 2 20	g7g6	h4e7,e6g5,h4h5,h4g5,h4d8,g7g6,h4h6	e6g5,h4h5,h4e7,h4g5,b6c5,e6c5,e6f4
32	4rrk1/2p4p/1bp1n1p1/p2pP3/P4P1q/R4Q2/1P2NP1P/2B2R1K w - - 0 21	a3c3	f4f5,f3h3,h1g1,b2b3,f1g1,e2g3,f3g3	f4f5,f3h3,h1g1,e2g3,e2g1,f1g1,f3g3
33	4rrk1/2p4p/1bp1n1p1/p2pP3/P4P1q/2R2Q2/1P2NP1P/2B2R1K b - - 1 21	h4d8	h4e7,h4h5,h4g5,e6g5,h4d8,e6f4,e6c5	h4e7,e6g5,h4g5,h4h5,h4d8,e6f4,h4f4
34	3qrrk1/2p4p/1bp1n1p1/p2pP3/P4P2/2R2Q2/1P2NP1P/2B2R1K w - - 2 22	c3c6	f4f5,b2b3,c3d3,c1e3,c1d2,f3d3,f1d1	f4f5,b2b3,c1e3,f3d3,c3d3,c1d2,f1d1
35	3qrrk1/2p4p/1bR1n1p1/p2pP3/P4P2/5Q2/1P2NP1P/2B2R1K b - - 0 22	d8d7	d8d7,e6f4,e6g5,e6c5,e6d4,d8c8,d8e7	d8d7,e6g5,e6c5,e6d4,e6f4,d8c8,d8e7
36	4rrk1/2pq3p/1bR1n1p1/p2pP3/P4P2/5Q2/1P2NP1P/2B2R1K w - - 1 23	c6c3	f4f5,c1e3,c6c4,e2g1,c6c2,c6e6,e2g3	f4f5,c1e3,c6c4,e2g3,c6e6,c6c3,c6c2
37	4rrk1/2pq3p/1b2n1p1/p2pP3/P4P2/2R2Q2/1P2NP1P/2B2R1K b - - 2 23	d5d4	e6c5,e6f4,e6g7,e6d4,e6g5,d7e7,d7f7	e6c5,e6g7,e6f4,e6g5,e6d4,d7e7,d7f7
38	4rrk1/2pq3p/1b2n1p1/p3P3/P2p1P2/2R2Q2/1P2NP1P/2B2R1K w - - 0 24	c3d3	c3d3,f3d3,c3c4,c3c2,b2b3,b2b4,f1e1	c3d3,f3d3,f3h3,c3c4,c3c2,b2b3,f4f5
39	4rrk1/2pq3p/1b2n1p1/p3P3/P2p1P2/3R1Q2/1P2NP1P/2B2R1K b - - 1 24	d7a4	d7f7,e6c5,b6c5,d7e7,e6f4,d7g7,e6g7	d7f7,e6c5,b6c5,d7e7,d7g7,d7c6,e6f4
40	4rrk1/2p4p/1b2n1p1/p3P3/q2p1P2/3R1Q2/1P2NP1P/2B2R1K w - - 0 25	e2g3	f3g2,f4f5,f3g3,f3c6,f3e4,f3h3,c1d2	f3g2,f4f5,f3e4,f3g3,f3c6,c1d2,f3h3
41	4rrk1/2p4p/1b2n1p1/p3P3/q2p1P2/3R1QN1/1P3P1P/2B2R1K b - - 1 25	a4d7	a4c2,a4d1,e8d8,a4d7,a4c6,a4b5,e6f4	a4c2,a4d1,a4d7,a4c6,a4b5,e8d8,a4b3
42	4rrk1/2pq3p/1b2n1p1/p3P3/3p1P2/3R1QN1/1P3P1P/2B2R1K w - - 2 26	g3e4	f4f5,f3e4,g3e4,b2b3,f3d1,f3g2,f3e2	f4f5,f3e4,g3e4,f3g2,b2b3,f3e2,f3d1
43	4rrk1/2pq3p/1b2n1p1/p3P3/3pNP2/3R1Q2/1P3P1P/2B2R1K b - - 3 26	e6c5	d7f7,d7g7,d7e7,e6c5,e8e7,e6g5,e8d8	d7f7,d7g7,e8e7,e6g5,d7e7,e8d8,e6c5
44	4rrk1/2pq3p/1b4p1/p1n1P3/3pNP2/3R1Q2/1P3P1P/2B2R1K w - - 4 27	e4c5	e4c5,d3d4,e4f6	e4c5,d3d4,e4f6
45	4rrk1/2pq3p/1b4p1/p1N1P3/3p1P2/3R1Q2/1P3P1P/2B2R1K b - - 0 27	b6c5	b6c5,d7c8,d7f7	b6c5,d7f7,d7c8
46	4rrk1/2pq3p/6p1/p1b1P3/3p1P2/3R1Q2/1P3P1P/2B2R1K w - - 0 28	f3e4	f3e4,f3d1,b2b3,f3b7,f1d1,c1d2,f3g4	f3e4,f3b7,f1d1,f3d1,b2b3,f3e2,f3c6
47	4rrk1/2pq3p/6p1/p1b1P3/3pQP2/3R4/1P3P1P/2B2R1K b - - 1 28	c5b6	d7f5,d7c6,d7g4,d7a4,d7e7,d7h3,c5b6	d7f5,d7c6,c5b6,d7e7,f8f4,d7f7,d7a4
48	4rrk1/2pq3p/1b4p1/p3P3/3pQP2/3R4/1P3P1P/2B2R1K w - - 2 29	b2b3	b2b3,e4g2,e4c6,e4f3,e4d5,e4b7,b2b4	e4g2,b2b3,e4c6,e4f3,e4d5,h1g2,d3f3
49	4rrk1/2pq3p/1b4p1/p3P3/3pQP2/1P1R4/5P1P/2B2R1K b - - 0 29	c7c5	d7f7,d7f5,d7b5,d7g7,d7a4,d7g4,c7c5	d7f7,d7b5,d7f5,b6c5,d7a4,d7g7,c7c5
50	4rrk1/3q3p/1b4p1/p1p1P3/3pQP2/1P1R4/5P1P/2B2R1K w - - 0 30	c1d2	e4g2,e4f3,d3g3,e4c6,e4d5,d3f3,d3h3	e4f3,e4g2,e4c6,d3g3,d3f3,d3d1,e4d5
51	4rrk1/3q3p/1b4p1/p1p1P3/3pQP2/1P1R4/3B1P1P/5R1K b - - 1 30	d7f5	b6d8,d7f7,f8f5,d7f5,d7a7,d7e7,e8e7	b6d8,d7f7,f8f5,d7f5,d7a7,d7g7,e8e7
52	4rrk1/7p/1b4p1/p1p1Pq2/3pQP2/1P1R4/3B1P1P/5R1K w - - 2 31	e4f5	e4f5,e4f3,e4g2	e4f5,e4f3,e4g2
53	4rrk1/7p/1b4p1/p1p1PQ2/3p1P2/1P1R4/3B1P1P/5R1K b - - 0 31	f8f5	f8f5,g6f5,f8f7	f8f5,g6f5,f8f7
54	4r1k1/7p/1b4p1/p1p1Pr2/3p1P2/1P1R4/3B1P1P/5R1K w - - 0 32	d3h3	f1a1,f1g1,h1g2,f1b1,f1e1,d2c1,f1c1	f1a1,h1g2,f1e1,f1g1,f1b1,f1c1,d2c1
55	4r1k1/7p/1b4p1/p1p1Pr2/3p1P2/1P5R/3B1P1P/5R1K b - - 1 32	e8a8	e8d8,b6d8,g8f7,b6c7,e8f8,g8h8,b6a7	e8d8,b6d8,g8f7,b6a7,b6c7,f5f4,f5f8
56	r5k1/7p/1b4p1/p1p1Pr2/3p1P2/1P5R/3B1P1P/5R1K w - - 2 33	f1c1	h3d3,h3e3,h3g3,f1g1,h3h7,h3c3,h3f3	h3d3,h3e3,h3g3,f1g1,h3h7,h3c3,h3f3
57	r5k1/7p/1b4p1/p1p1Pr2/3p1P2/1P5R/3B1P1P/2R4K b - - 3 33	a5a4	g8f7,a8f8,g8f8,a8e8,b6d8,d4d3,g8h8	a8f8,g8f7,g8f8,a8e8,a8d8,b6d8,d4d3
58	r5k1/7p/1b4p1/2p1Pr2/p2p1P2/1P5R/3B1P1P/2R4K w - - 0 34	b3a4	b3a4,h3g3,d2e3	b3a4,d2e3,h3g3
59	r5k1/7p/1b4p1/2p1Pr2/P2p1P2/7R/3B1P1P/2R4K b - - 0 34	a8a4	g8f7,a8d8,a8a5,b6a5,a8f8,a8e8,a8c8	a8f8,g8f7,a8d8,a8a5,b6a5,b6d8,a8a4
60	6k1/7p/1b4p1/2p1Pr2/r2p1P2/7R/3B1P1P/2R4K w - - 0 35	h3b3	h3d3,h3e3,h3b3,h3g3,h3c3,h3h7,h3h6	h3d3,h3b3,h3g3,h3e3,h3c3,h3h7,h3h6
61	6k1/7p/1b4p1/2p1Pr2/r2p1P2/1R6/3B1P1P/2R4K b - - 1 35	b6a5	g8f7,g8g7,c5c4,f5f8,g8f8,b6a7,b6a5	c5c4,g8g7,g8f7,b6a5,g8f8,f5f8,b6a7
62	6k1/7p/6p1/b1p1Pr2/r2p1P2/1R6/3B1P1P/2R4K w - - 2 36	b3b8	b3b6,b3b7,b3d3,b3f3,b3a3,b3b8,d2e3	b3b6,b3b7,b3a3,b3d3,b3b8,d2e3,e5e6
63	1R4k1/7p/6p1/b1p1Pr2/r2p1P2/8/3B1P1P/2R4K b - - 3 36	g8g7	g8f7,g8g7,f5f8	g8f7,g8g7,f5f8
64	1R6/6kp/6p1/b1p1Pr2/r2p1P2/8/3B1P1P/2R4K w - - 4 37	d2a5	b8b7,b8e8,b8a8,h1g2,b8d8,b8b6,b8f8	b8b7,b8e8,h1g2,b8a8,b8b5,b8d8,b8b6
65	1R6/6kp/6p1/B1p1Pr2/r2p1P2/8/5P1P/2R4K b - - 0 37	a4a5	a4a2,a4a5,a4a3	a4a2,a4a5,a4a3
66	1R6/6kp/6p1/r1p1Pr2/3p1P2/8/5P1P/2R4K w - - 0 38	b8c8	b8b7,b8a8,b8d8,b8c8,b8e8,b8b4,b8f8	b8b7,b8a8,b8f8,b8e8,b8c8,b8b4,b8b6
67	2R5/6kp/6p1/r1p1Pr2/3p1P2/8/5P1P/2R4K b - - 1 38	f5f4	g7f7,a5a4,a5a1,a5a2,a5b5,f5f4,g6g5	a5a1,a5a2,g7f7,f5f4,g6g5,a5a4,a5b5
68	2R5/6kp/6p1/r1p1P3/3p1r2/8/5P1P/2R4K w - - 0 39	c8c7	c8c7,c8e8,e5e6,c8c6,c8a8,c8d8,c1g1	c8c7,c8e8,c8a8,c1d1,e5e6,c1g1,c1e1
69	8/2R3kp/6p1/r1p1P3/3p1r2/8/5P1P/2R4K b - - 1 39	g7f8	g7h6,g7g8,f4f7	g7h6,f4f7,g7g8
70	5k2/2R4p/6p1/r1p1P3/3p1r2/8/5P1P/2R4K w - - 2 40	h1g2	c7c6,c7a7,c1d1,h1g2,c7c5,c7h7,c7d7	c7c6,c7a7,c7c5,c7g7,c1g1,c1d1,c7e7
71	5k2/2R4p/6p1/r1p1P3/3p1r2/8/5PKP/2R5 b - - 3 40	d4d3	f4f5,f4h4,c5c4,f4e4,f4g4,f4f2,a5a4	f4f5,f4h4,c5c4,f4g4,f4f2,f4e4,a5a1
72	5k2/2R4p/6p1/r1p1P3/5r2/3p4/5PKP/2R5 w - - 0 41	c7c5	c1c5,c7c6,c7c5,c1c3,c7g7,c7c8,h2h4	c1c5,c7c6,c7c5,c1d1,c7g7,c7c8,c7d7
73	5k2/7p/6p1/r1R1P3/5r2/3p4/5PKP/2R5 b - - 0 41	a5a2	a5c5,a5a1,a5a2	a5c5,a5a2,a5a1
74	5k2/7p/6p1/2R1P3/5r2/3p4/r4PKP/2R5 w - - 1 42	c1f1	g2g3,c5c6,c5c2,h2h4,c5c3,c5c8,c5c4	g2g3,c5c6,h2h4,c5c2,c5c8,c5c3,c5c7
75	5k2/7p/6p1/2R1P3/5r2/3p4/r4PKP/5R2 b - - 2 42	a2e2	d3d2,f4h4,f4d4,f4a4,f4f2,f4b4,f4c4	d3d2,f4h4,f4d4,f4b4,f4f2,f4a4,f4c4
76	5k2/7p/6p1/2R1P3/5r2/3p4/4rPKP/5R2 w - - 3 43	g2g3	c5d5,c5a5,g2g3,c5c4,c5c7,h2h4,c5b5	c5d5,c5a5,c5c7,c5c8,h2h4,c5c2,g2g3
77	5k2/7p/6p1/2R1P3/5r2/3p2K1/4rP1P/5R2 b - - 4 43	f4d4	f4a4,f4b4,f4h4,f4d4,f4c4,f4f2	f4a4,f4h4,f4d4,f4b4,f4c4,f4f2
78	5k2/7p/6p1/2R1P3/3r4/3p2K1/4rP1P/5R2 w - - 5 44	f1d1	h2h4,g3f3,f1e1,h2h3,e5e6,f1a1,f2f3	h2h4,f2f4,h2h3,g3f3,e5e6,f1a1,f1e1
79	5k2/7p/6p1/2R1P3/3r4/3p2K1/4rP1P/3R4 b - - 6 44	g6g5	d4e4,d3d2,d4c4,e2c2,d4a4,f8g7,d4d8	d4e4,d3d2,e2c2,d4c4,d4d8,d4a4,f8g7
80	5k2/7p/8/2R1P1p1/3r4/3p2K1/4rP1P/3R4 w - - 0 45	c5c3	h2h4,e5e6,h2h3,c5d5,c5c6,c5b5,f2f4	h2h4,h2h3,c5d5,c5c7,c5c6,f2f4,e5e6
81	5k2/7p/8/4P1p1/3r4/2Rp2K1/4rP1P/3R4 b - - 1 45	d3d2	d3d2,e2c2,e2e4,e2e3,e2a2,d4e4	d3d2,e2c2,d4e4,e2a2,e2e3,e2e4
82	5k2/7p/8/4P1p1/3r4/2R3K1/3prP1P/3R4 w - - 0 46	c3e3	c3c7,c3c6,h2h4,h2h3,c3c8,c3a3,c3e3	h2h4,c3c6,h2h3,c3c7,c3f3,c3c8,c3a3
83	5k2/7p/8/4P1p1/3r4/4R1K1/3prP1P/3R4 b - - 1 46	e2e3	d4d3,e2e3,d4e4,e2e1,d4a4,d4d5,d4d8	d4d3,e2e3,d4e4,d4d8,d4a4,e2e1,d4d5
84	5k2/7p/8/4P1p1/3r4/4r1K1/3p1P1P/3R4 w - - 0 47	f2e3	f2e3,g3g2,f2f3	f2e3,f2f3,g3g2
85	5k2/7p/8/4P1p1/3r4/4P1K1/3p3P/3R4 b - - 0 47	d4d8	d4d3,d4d5,d4e4,d4d8,d4a4	d4d3,d4e4,d4a4,d4d8,d4d5
86	3r1k2/7p/8/4P1p1/8/4P1K1/3p3P/3R4 w - - 1 48	g3g4	g3g4,e5e6,h2h4,g3f3,g3f2,d1d2	e5e6,g3g4,g3f3,h2h4,g3f2,d1d2
87	3r1k2/7p/8/4P1p1/6K1/4P3/3p3P/3R4 b - - 2 48	h7h6	f8e7,d8e8,f8g7,d8d5,h7h6,d8c8	f8e7,d8e8,h7h6,f8g7,d8d5,d8c8
88	3r1k2/8/7p/4P1p1/6K1/4P3/3p3P/3R4 w - - 0 49	g4f3	g4f5,e5e6,g4f3,g4h5	g4f5,e5e6,g4f3,g4h5
89	3r1k2/8/7p/4P1p1/8/4PK2/3p3P/3R4 b - - 1 49	f8f7	d8e8,d8d5,f8g7,d8a8,f8e7,d8d4,d8c8	d8e8,d8d5,f8g7,d8d4,d8a8,d8d3,d8c8
90	3r4/5k2/7p/4P1p1/8/4PK2/3p3P/3R4 w - - 2 50	f3e2	f3e4,f3g4,f3g2	f3e4,f3g2,f3g4
91	3r4/5k2/7p/4P1p1/8/4P3/3pK2P/3R4 b - - 3 50	f7e6	f7g6,d8e8,f7e6,d8g8,d8d6,d8a8,d8d5	f7g6,d8g8,d8a8,f7e6,d8e8,d8d6,d8b8
92	3r4/8/4k2p/4P1p1/8/4P3/3pK2P/3R4 w - - 4 51	d1d2	e2f1,e2f3,h2h4,d1d2,e2f2,h2h3	e2f1,e2f3,d1d2,e2f2,h2h4,h2h3
93	3r4/8/4k2p/4P1p1/8/4P3/3RK2P/8 b - - 0 51	d8d2	d8d2,d8d3,d8e8,d8g8,e6e5	d8d2,d8d3,d8g8,d8e8,e6e5
94	8/8/4k2p/4P1p1/8/4P3/3rK2P/8 w - - 0 52	e2d2	e2d2,e2f3,e2e1	e2d2,e2f3,e2e1
95	8/8/4k2p/4P1p1/8/4P3/3K3P/8 b - - 0 52	h6h5	e6e5,h6h5,g5g4	e6e5,h6h5,g5g4
96	8/8/4k3/4P1pp/8/4P3/3K3P/8 w - - 0 53	h2h3	d2e2,d2d3,d2c2,d2c3,e3e4	d2e2,d2d3,e3e4,d2c2,d2c3
97	8/8/4k3/4P1pp/8/4P2P/3K4/8 b - - 0 53	e6e5	e6e5,e6f5,g5g4	e6e5,g5g4,e6f5
98	8/8/8/4k1pp/8/4P2P/3K4/8 w - - 0 54	d2e1	d2d3,d2c3,d2e2	d2d3,d2e2,d2c3
99	8/8/8/4k1pp/8/4P2P/8/4K3 b - - 1 54	e5f5	e5e4,g5g4,e5d5	e5e4,g5g4,e5d5
100	8/8/8/5kpp/8/4P2P/8/4K3 w - - 2 55	e1e2	e1f2,e1d2,e1e2	e1e2,e1f2,e1d2
